NĂ©v;KategĂłria;Aliasok
"MikroszkĂłpos extra kezelĂ©s bonyolult csatornĂˇnĂˇl";"Endodoncia";"extra mikroszkĂłp|comlex canal|kalcifikĂˇlt csatorna|MB2 keresĂ©s"
"ApexifikĂˇciĂł / apexogenezis";"Endodoncia";"apexifikĂˇciĂł|apexogenezis|nyitott apex|MTA apikĂˇl"
"BelsĹ‘ fogfehĂ©rĂ­tĂ©s (devitĂˇlis, fogankĂ©nt)";"Endodoncia";"belsĹ‘ fehĂ©rĂ­tĂ©s|internal bleaching|walking bleach"
"Intracanaliris ĂĽvegszĂˇlas csap (Dentapreg PinPost)";"Endodoncia";"intracanal post|pinpost|fiber post intracanal"
"Parapulparis ĂĽvegszĂˇlas csap (Dentapreg)";"Endodoncia";"parapulpĂˇris csap|kis csap|pin"
"E-max kerĂˇmiahĂ©j (fogankĂ©nt)";"EsztĂ©tikai fogĂˇszat";"e-max hĂ©j|kerĂˇmia hĂ©j|porcelĂˇn hĂ©j|veneer|lithium-diszilikĂˇt hĂ©j"
"PrĂ©selt kerĂˇmia hĂ©j (Empress)";"EsztĂ©tikai fogĂˇszat";"empress hĂ©j|empress|leucit kerĂˇmia hĂ©j"
"Veneer-lay";"EsztĂ©tikai fogĂˇszat";"veneer-lay|kombinĂˇlt hĂ©j-onlay|wraparound veneer"
"Renamel direkt hĂ©j belsĹ‘ szĂ­nezĂ©ssel";"EsztĂ©tikai fogĂˇszat";"renamel|kompozit hĂ©j rĂ©tegezve|cosmedent hĂ©j"
"Direkt kompozit hĂ©j (fogankĂ©nt)";"EsztĂ©tikai fogĂˇszat";"direkt veneer|kompozit hĂ©j|chairside veneer"
"HĂˇzi sĂ­nes fogfehĂ©rĂ­tĂ©s (alsĂł-felsĹ‘)";"EsztĂ©tikai fogĂˇszat";"otthoni fehĂ©rĂ­tĂ©s|sĂ­nes fehĂ©rĂ­tĂ©s|home bleaching|carbamid peroxid"
"RendelĹ‘i fogfehĂ©rĂ­tĂ©s (in-office)";"EsztĂ©tikai fogĂˇszat";"rendelĹ‘i fehĂ©rĂ­tĂ©s|chair-side fehĂ©rĂ­tĂ©s|Zoom|Beyond"
"KombinĂˇlt fogfehĂ©rĂ­tĂ©s (rendelĹ‘i + hĂˇzi)";"EsztĂ©tikai fogĂˇszat";"kombinĂˇlt fehĂ©rĂ­tĂ©s|in-office + home"
"BelsĹ‘ fogfehĂ©rĂ­tĂ©s (1 fogon, devitĂˇlis)";"EsztĂ©tikai fogĂˇszat";"belsĹ‘ fehĂ©rĂ­tĂ©s|elszĂ­nezĹ‘dĂ¶tt fog|walking bleach"
"FehĂ©rĂ­tĹ‘sĂ­n kĂ©szĂ­tĂ©se (alsĂł-felsĹ‘, lenyomatra)";"EsztĂ©tikai fogĂˇszat";"fehĂ©rĂ­tĹ‘sĂ­n|whitening tray|bleaching tray"
"FehĂ©rĂ­tĹ‘ utĂˇntĂ¶ltĹ‘ gĂ©l";"EsztĂ©tikai fogĂˇszat";"fehĂ©rĂ­tĹ‘ gĂ©l|carbamid gĂ©l|fehĂ©rĂ­tĹ‘ utĂˇntĂ¶ltĹ‘"
"FogĂ©kszer felragasztĂˇs";"EsztĂ©tikai fogĂˇszat";"fogĂ©kszer|jewel|tooth gem"
"FogĂ©kszer eltĂˇvolĂ­tĂˇs";"EsztĂ©tikai fogĂˇszat";"fogĂ©kszer levĂ©tel|jewel removal"
"Smile design / mosolytervezĂ©s";"EsztĂ©tikai fogĂˇszat";"DSD|smile design|esztĂ©tikai tervezĂ©s"
"Ă‰lpĂłtlĂˇs esztĂ©tikai cĂ©lbĂłl";"EsztĂ©tikai fogĂˇszat";"Ă©lpĂłtlĂˇs|inciso|esztĂ©tikai Ă©lpĂłtlĂˇs"
"PreparĂˇlĂˇs (fogankĂ©nt)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"prepa|preparĂˇlĂˇs|csiszolĂˇs|brĂşsz|tooth preparation"
"FĂ©mkerĂˇmia korona";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"FK|fĂ©mkerĂˇmia|porcelĂˇn fĹ±zĂ¶tt fĂ©m|PFM"
"Cirkon korona (monolit)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"cirkon|monolit cirkon|zirkĂłnium korona"
"Cirkon korona (rĂ©teges)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"rĂ©teges cirkon|porcelĂˇn fĹ±zĂ¶tt cirkon|esztĂ©tikus cirkon"
"E-max kerĂˇmia korona";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"e-max korona|lithium-diszilikĂˇt korona"
"Empress kerĂˇmia korona";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"empress korona|leucit korona"
"HĂ­dtag (fĂ©mkerĂˇmia)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"FK hĂ­dtag|fĂ©mkerĂˇmia hĂ­d egysĂ©g|pontic FK"
"HĂ­dtag (cirkon)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"cirkon hĂ­dtag|zirkon pontic"
"HĂ­dtag (E-max)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"e-max hĂ­dtag|kerĂˇmia pontic"
"Inlay-elhorgonyzĂˇsĂş cirkon hĂ­d (egy fog pĂłtlĂˇs)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"inlay hĂ­d|adhezĂ­v hĂ­d cirkon|inlay-retained bridge"
"Maryland hĂ­d (kerĂˇmia szĂˇrny)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"maryland|szĂˇrnyas hĂ­d|adhezĂ­v hĂ­d|RBB"
"ImplantĂˇtumon csavarozott fĂ©mkerĂˇmia korona";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"csavarozott FK|screw retained PFM|ĂˇtmenĹ‘csavaros FK"
"ImplantĂˇtumon csavarozott cirkon korona";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"csavarozott cirkon|screw retained cirkon|ĂˇtmenĹ‘csavaros cirkon"
"ImplantĂˇtumon cementezett korona";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"cementezett implantĂˇtum korona|cement retained|ragasztott implantĂˇtum korona"
"HosszĂştĂˇvĂş ideiglenes korona (laborban kĂ©szĂĽlt, PMMA)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"PMMA korona|long term temp|hosszĂştĂˇvĂş provizĂłrium"
"HosszĂştĂˇvĂş ideiglenes hĂ­d (PMMA)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"PMMA hĂ­d|hosszĂştĂˇvĂş ideiglenes hĂ­d|long term temp bridge"
"HosszĂştĂˇvĂş ideiglenes korona implantĂˇtumra (CAD/CAM)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"CAD/CAM provizĂłrium|implantĂˇtum ideiglenes korona|titĂˇnbĂˇzis provizĂłrium"
"Ideiglenes korona rendelĹ‘ben kĂ©szĂ­tve";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"chairside ideiglenes|provizĂłrium rendelĹ‘ben|protemp"
"Ideiglenes hĂ­d kĂ©szĂ­tĂ©s A1/A3 fĂłliĂˇbĂłl";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"fĂłliahĂşzott provizĂłrium|szĂ­vĂłformĂˇzott hĂ­d|deep draw temporary"
"Sapka ideiglenes cĂ©lra (fogankĂ©nt)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"sapka|provisional shell|ideiglenes sapka"
"All-on-4 csavarozott ideiglenes hĂ­d (PMMA, ĂˇllcsontonkĂ©nt)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"all on 4 ideiglenes|all-on-4 PMMA|csavarozott PMMA hĂ­d"
"All-on-4 csavarozott vĂ©gleges cirkon hĂ­d (ĂˇllcsontonkĂ©nt)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"all on 4 cirkon|all-on-4 final|csavarozott cirkon hĂ­d 4 implantĂˇtumon"
"All-on-6 csavarozott vĂ©gleges cirkon hĂ­d (ĂˇllcsontonkĂ©nt)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"all on 6 cirkon|all-on-6 final|csavarozott cirkon hĂ­d 6 implantĂˇtumon"
"HosszĂştĂˇvĂş ideiglenes hĂ­d Ivotion-erĹ‘sĂ­tett (ĂˇllcsontonkĂ©nt)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"Ivotion hĂ­d|teljes Ă­ves provizĂłrium|fĂ©mmel erĹ‘sĂ­tett PMMA"
"TeleszkĂłp korona (CAD/CAM primer + szekunder, fogankĂ©nt)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"teleszkĂłp|teleszkĂłp korona|primer-szekunder"
"PrecĂ­ziĂłs rĂ¶gzĂ­tĹ‘elem (db)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"precĂ­ziĂłs elem|attachment|rĂ¶gzĂ­tĹ‘elem"
"PrecĂ­ziĂłs elhorgonyzĂˇsĂş fogmĹ± fĂ©m alaplemeze";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"precĂ­ziĂłs alaplemez|kombinĂˇlt munka alaplemez"
"SapkaprĂłba";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"sapkaprĂłba|coping try-in"
"VĂˇzprĂłba";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"vĂˇzprĂłba|framework try-in|substruktĂşra prĂłba"
"NyersprĂłba (biszkvitprĂłba)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"biszkvitprĂłba|nyers prĂłba|bisque try-in"
"FogprĂłba (rĂ¶gzĂ­tett pĂłtlĂˇsnĂˇl szĂ­nprĂłba)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"fogprĂłba|szĂ­nprĂłba|shade try-in"
"PrĂłbaragasztĂˇs (ideiglenes ragasztĂˇs)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"prĂłbaragasztĂˇs|TempBond|ideiglenes cementezĂ©s"
"VĂ©gleges ragasztĂˇs (rĂ¶gzĂ­tett pĂłtlĂˇsnĂˇl)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"vĂ©gleges ragasztĂˇs|cementezĂ©s|adhezĂ­v ragasztĂˇs|RelyX|Variolink"
"Korona levĂ©tel (ĂˇtvĂˇgott koronĂˇnkĂ©nt)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"korona ĂˇtvĂˇgĂˇs|korona levĂ©tel|crown sectioning"
"Korona visszaragasztĂˇs (vĂ©gleges)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"recementezĂ©s|korona visszaragasztĂˇs|recementation"
"Ideiglenes visszaragasztĂˇs";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"ideiglenes visszaragasztĂˇs|temp recement"
"Protetikai munka beragasztĂˇsa / fogmĹ± ĂˇtadĂˇs";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"fogmĹ± ĂˇtadĂˇs|munka beragasztĂˇs|delivery"
"MerevĂ­tĹ‘rostos direkt hĂ­d (egy fog hiĂˇny)";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"direkt hĂ­d|fiber bridge|everstick hĂ­d|biomimetic bridge"
"RSVP ideiglenes hĂ©j";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"RSVP|ideiglenes hĂ©j|temp veneer"
"PorcelĂˇn borĂ­tĂˇsĂş fĂ©mkorona";"FogpĂłtlĂˇstan â€“ rĂ¶gzĂ­tett";"PFM|porcelĂˇn fĹ±zĂ¶tt fĂ©m"
"Teljes kivehetĹ‘ fogsor akrilĂˇt (egy Ăˇllcsont)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"akrilĂˇt fogsor|teljes fogsor|complete denture"
"Teljes kivehetĹ‘ fogsor BPS (egy Ăˇllcsont)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"BPS|biofunkcionĂˇlis fogsor|Ivoclar BPS"
"BPS fogsor individualizĂˇlt alaplemezzel (egy Ăˇllcsont)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"egyedi BPS|gnatolĂłgiai BPS|funkcionĂˇlis BPS"
"Teljes fogsor (Ivotion 3D nyomtatott)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"Ivotion fogsor|3D nyomtatott fogsor|digital denture"
"RĂ©szleges kivehetĹ‘ fogsor (akrilĂˇt)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"rĂ©szleges fogsor|RPF akrilĂˇt|partial denture"
"RĂ©szleges kivehetĹ‘ fogsor (fĂ©mlemezes, kapcsos)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"fĂ©mlemezes fogsor|Ă¶ntĂ¶tt kapcsos|cast partial|kapocs|CoCr partial"
"Valplast 1 fogas pĂłtlĂˇs";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"valplast 1 fog|flexibilis 1 fog|nylon 1 fog"
"Valplast rĂ©szleges (1-2 fog, front)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"valplast 1-2 front|kis valplast"
"Valplast rĂ©szleges (3-4 fog)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"valplast 3-4|kĂ¶zepes valplast"
"Valplast teljes fogsor";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"teljes valplast|nylon fogsor"
"Valplast javĂ­tĂˇsa (fogankĂ©nt)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"valplast javĂ­tĂˇs|nylon javĂ­tĂˇs"
"LokĂˇtoros kivehetĹ‘ fogsor (2 implantĂˇtumon)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"lokĂˇtor 2|locator 2|overdenture 2 implantĂˇtum"
"LokĂˇtoros kivehetĹ‘ fogsor (4 implantĂˇtumon)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"lokĂˇtor 4|locator 4|overdenture 4 implantĂˇtum"
"StĂ©ges kivehetĹ‘ fogsor (4 implantĂˇtumon)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"stĂ©g 4|bar 4|gerendĂˇs 4 implantĂˇtum"
"StĂ©ges kivehetĹ‘ fogsor (6 implantĂˇtumon)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"stĂ©g 6|bar 6|gerendĂˇs 6 implantĂˇtum"
"Variokugel elhorgonyzĂˇs";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"variokugel|gĂ¶mbĂ¶s elhorgonyzĂˇs|ball attachment"
"LokĂˇtor matrica cserĂ©je";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"lokĂˇtor matrica|locator insert csere|nylon csere"
"Fogsor alĂˇbĂ©lelĂ©s (kĂ¶zvetlen, kemĂ©ny)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"alĂˇbĂ©lelĂ©s direkt|chairside reline|kemĂ©ny alĂˇbĂ©lelĂ©s"
"Fogsor alĂˇbĂ©lelĂ©s (kĂ¶zvetett, laborban)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"laboratĂłriumi alĂˇbĂ©lelĂ©s|indirekt reline"
"Fogsor lĂˇgy alĂˇbĂ©lelĂ©s (Mollosil/szilikon)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"lĂˇgy alĂˇbĂ©lelĂ©s|szilikon alĂˇbĂ©lelĂ©s|soft reline"
"Fogsor javĂ­tĂˇs (tĂ¶rĂ©s)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"fogsor tĂ¶rĂ©s|tĂ¶rĂ¶tt fogsor javĂ­tĂˇs|denture repair"
"Fogsor javĂ­tĂˇs (fog/kapocs pĂłtlĂˇsa)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"fog beragasztĂˇs fogsorba|kapocs pĂłtlĂˇs|tooth add"
"Ideiglenes fogsor (3D nyomtatott, ĂˇllcsontonkĂ©nt)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"3D ideiglenes fogsor|nyomtatott ideiglenes fogsor"
"Ideiglenes fogsor (akrilĂˇt, ĂˇllcsontonkĂ©nt)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"akrilĂˇt ideiglenes|sĂĽrgĹ‘ssĂ©gi fogsor|immediate denture"
"Ideiglenes fogsor laborban (Ivoclar fogakkal)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"Ivoclar ideiglenes|ideiglenes fogsor labor|long term provisional denture"
"TanulmĂˇnyi lenyomat (alginĂˇt, ĂˇllcsontonkĂ©nt)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"tanulmĂˇnyi lenyomat|alginĂˇt|preliminary impression"
"Lenyomati dĂ­j (precĂ­ziĂłs szilikon, ĂˇllcsontonkĂ©nt)";"FogpĂłtlĂˇstan â€“ kivehetĹ‘";"precĂ­ziĂłs lenyomat|szilikon lenyomat|funkcionĂˇlis lenyomat"
"FogbeĂĽltetĂ©s (premium implantĂˇtum, fogankĂ©nt)";"ImplantolĂłgia";"implantĂˇtum|fogbeĂĽltetĂ©s|implant placement|Nobel|Straumann|Astra"
"FogbeĂĽltetĂ©s (kĂ¶zĂ©p-kategĂłria implantĂˇtum, fogankĂ©nt)";"ImplantolĂłgia";"kĂ¶zĂ©pkategĂłriĂˇs implantĂˇtum|Dentium|AlphaBio|Bionika|MIS"
"FogbeĂĽltetĂ©s (sĂĽrgĹ‘ssĂ©gi/azonnali, fogankĂ©nt)";"ImplantolĂłgia";"azonnali implantĂˇciĂł|immediate implant|sĂĽrgĹ‘ssĂ©gi implantĂˇciĂł"
"Cirkon (kerĂˇmia) implantĂˇtum";"ImplantolĂłgia";"cirkon implantĂˇtum|zirkĂłnium implantĂˇtum|Nobel Pearl|Straumann Pure|kerĂˇmia implantĂˇtum"
"Mini implantĂˇtum (pin)";"ImplantolĂłgia";"mini implantĂˇtum|pin implant|kisĂˇtmĂ©rĹ‘jĹ± implant"
"MĹ±tĂ©ti sablon kĂ©szĂ­tĂ©s (statikus navigĂˇciĂł)";"ImplantolĂłgia";"surgical guide|fĂşrĂłsablon|navigĂˇciĂł|Smart Guide|implant guide"
"3D digitĂˇlis implantĂˇciĂłs tervezĂ©s";"ImplantolĂłgia";"3D tervezĂ©s|implantĂˇciĂłs tervezĂ©s|coDiagnostix|Blue Sky Plan"
"ImplantĂˇtum felszabadĂ­tĂˇs (gyĂłgyulĂˇs utĂˇn)";"ImplantolĂłgia";"implant uncovering|II. fĂˇzis sebĂ©szet|mĂˇsodik mĹ±tĂ©t|exposure"
"ĂŤnyformĂˇzĂł csavar behelyezĂ©se";"ImplantolĂłgia";"healing|gyĂłgyulĂˇsi csavar|Ă­nyformĂˇzĂł|tissue former|gingiva former"
"Egyedi gyĂłgyulĂˇsi csavar (CAD/CAM)";"ImplantolĂłgia";"egyedi healing|custom healing|emergence profile shaping"
"ImplantĂˇtum eltĂˇvolĂ­tĂˇs (mĹ±tĂ©ti)";"ImplantolĂłgia";"implantĂˇtum eltĂˇvolĂ­tĂˇs|implant explantation|implant removal"
"ImplantĂˇtumon betĂ¶rt csavar eltĂˇvolĂ­tĂˇsa";"ImplantolĂłgia";"betĂ¶rt csavar|broken screw removal|abutment screw fracture"
"Peri-implantitis kezelĂ©s (kĂĽrettĂˇlĂˇs)";"ImplantolĂłgia";"peri-implantitis|implantĂˇtum kĂĽrettĂˇlĂˇs|implantĂˇtum tisztĂ­tĂˇs"
"Hybenx kezelĂ©s peri-implantitisnĂ©l";"ImplantolĂłgia";"hybenx|implantĂˇtum dekontaminĂˇciĂł|periimplantitis kezelĂ©s"
"CsontpĂłtlĂˇs (extrakciĂłs zsugorodĂˇs megelĹ‘zĂ©s, frontfog/kisĹ‘rlĹ‘)";"ImplantolĂłgia";"socket preservation front|alveolus megĹ‘rzĂ©s|ridge preservation 1"
"CsontpĂłtlĂˇs (extrakciĂłs zsugorodĂˇs megelĹ‘zĂ©s, nagyĹ‘rlĹ‘)";"ImplantolĂłgia";"socket preservation molĂˇris|alveolus megĹ‘rzĂ©s molĂˇris|ridge preservation M"
"CsontpĂłtlĂˇs Ăˇllcsontgerinc szĂ©lesĂ­tĂ©sĂ©re";"ImplantolĂłgia";"GBR|guided bone regeneration|gerincszĂ©lesĂ­tĂ©s|ridge augmentation"
"CsontpĂłtlĂˇs vertikĂˇlis augmentĂˇciĂł";"ImplantolĂłgia";"vertikĂˇlis augmentĂˇciĂł|magassĂˇgi csontpĂłtlĂˇs|vertical GBR"
"Sinuslift zĂˇrt technika";"ImplantolĂłgia";"zĂˇrt sinuslift|crestal sinuslift|Summers technika|osteotom sinuslift"
"Sinuslift nyitott technika";"ImplantolĂłgia";"nyitott sinuslift|laterĂˇlis sinuslift|window sinuslift"
"SinusperforĂˇciĂł zĂˇrĂˇs";"ImplantolĂłgia";"sinus zĂˇrĂˇs|membrĂˇnperforĂˇciĂł zĂˇrĂˇs|Schneider perforĂˇciĂł"
"Csontblokk transzplantĂˇciĂł (autogĂ©n)";"ImplantolĂłgia";"csontblokk|autogĂ©n blokk|J-graft|onlay graft"
"SajĂˇtcsont gyĹ±jtĂ©s csontkaparĂłval";"ImplantolĂłgia";"safescraper|csontkaparĂˇs|micross|smartscraper|csontgyĹ±jtĂ©s"
"LĂˇgyszĂ¶vet augmentĂˇciĂł (kĂ¶tĹ‘szĂ¶veti graft)";"ImplantolĂłgia";"CTG|kĂ¶tĹ‘szĂ¶veti graft|connective tissue graft|szĂˇjpadgraft"
"RecessziĂł fedĂ©s (Mucograft)";"ImplantolĂłgia";"recessziĂł fedĂ©s|root coverage|recessziĂłfedĂ©s|Mucograft"
"Feszes Ă­ny kĂ©pzĂ©se implantĂˇtum felszabadĂ­tĂˇssal";"ImplantolĂłgia";"feszes Ă­ny|attached gingiva|kerathinizĂˇlt Ă­ny pĂłtlĂˇs|FGG"
"MikroimplantĂˇtum fogszabĂˇlyozĂˇsi cĂ©llal";"ImplantolĂłgia";"TAD|temporary anchorage device|orthodontic mini-implant|mikroimplantĂˇtum orto"
"FelĂ©pĂ­tĹ‘fej standard (titĂˇn)";"ImplantolĂłgia";"abutment|titĂˇn abutment|stock abutment|standard felĂ©pĂ­tĹ‘fej"
"Egyedi felĂ©pĂ­tĹ‘fej (CAD/CAM titĂˇn)";"ImplantolĂłgia";"custom abutment|egyedi titĂˇn abutment|CAD/CAM abutment"
"Egyedi felĂ©pĂ­tĹ‘fej (cirkon)";"ImplantolĂłgia";"cirkon abutment|cirkon felĂ©pĂ­tĹ‘fej|zirconia abutment"
"Multiunit ĂˇtĂ©pĂ­tĹ‘ (csavarozott pĂłtlĂˇsokhoz)";"ImplantolĂłgia";"multiunit|MUA|multi-unit abutment|hĂ­dfej csavarozott"
"TitĂˇn bĂˇzis (Ti-base)";"ImplantolĂłgia";"Ti-base|titĂˇn bĂˇzis|hibrid abutment alapja"
"Ă�tmenĹ‘csavar (prosthetic screw)";"ImplantolĂłgia";"prosthetic screw|ĂˇtmenĹ‘csavar|abutment screw"
"Ideiglenes felĂ©pĂ­tĹ‘fej";"ImplantolĂłgia";"temp abutment|ideiglenes abutment|provisional abutment"
"ParodontolĂłgiai szakvizsgĂˇlat";"ParodontolĂłgia";"paro szakvizsgĂˇlat|paro vizsgĂˇlat|periodontal exam"
"ParodontolĂłgiai szakvizsgĂˇlat tasakmĂ©rĂ©ssel";"ParodontolĂłgia";"paro stĂˇtusz|paro charting|tasakmĂ©rĂ©s"
"ZĂˇrt kĂĽrett (fogankĂ©nt)";"ParodontolĂłgia";"zĂˇrt kĂĽrett|closed curettage|paro kĂĽrett 1 fog|SRP fogankĂ©nt"
"ZĂˇrt kĂĽrett (kvadrĂˇnsonkĂ©nt)";"ParodontolĂłgia";"zĂˇrt kĂĽrett kvadrĂˇns|SRP kvadrĂˇns|closed curettage QD"
"ZĂˇrt kĂĽrett (ĂˇllcsontonkĂ©nt)";"ParodontolĂłgia";"zĂˇrt kĂĽrett egĂ©sz fogĂ­v|paro Ăˇllcsont|SRP teljes Ă­v"
"ZĂˇrt kĂĽrett (teljes szĂˇj, full mouth disinfection)";"ParodontolĂłgia";"FMD|full mouth disinfection|teljes szĂˇj kĂĽrett|24 ĂłrĂˇs protokoll"
"Nyitott kĂĽrett 1 fogra";"ParodontolĂłgia";"nyitott kĂĽrett 1|open flap 1 fog|paro lebenyes 1"
"Nyitott kĂĽrett 2 fogra";"ParodontolĂłgia";"nyitott kĂĽrett 2|open flap 2 fog"
"Nyitott kĂĽrett 3 fogra";"ParodontolĂłgia";"nyitott kĂĽrett 3|open flap 3 fog"
"Nyitott kĂĽrett 4+ fogra";"ParodontolĂłgia";"nyitott kĂĽrett 4|open flap 4 fog|kiterjesztett nyitott kĂĽrett"
"Emdogain regeneratĂ­v parodontĂˇlis mĹ±tĂ©t (anyagdĂ­j nĂ©lkĂĽl)";"ParodontolĂłgia";"emdogain mĹ±tĂ©t|EMD|enamel matrix derivative|regeneratĂ­v paro"
"GTR irĂˇnyĂ­tott szĂ¶vetregenerĂˇciĂł";"ParodontolĂłgia";"GTR|guided tissue regeneration|membrĂˇnos paro mĹ±tĂ©t"
"RecessziĂł fedĂ©s I. (egyszerĹ±)";"ParodontolĂłgia";"recessziĂł fedĂ©s 1|root coverage simple|CAF"
"RecessziĂł fedĂ©s II. (Ă¶sszetett)";"ParodontolĂłgia";"recessziĂł fedĂ©s 2|root coverage complex|tunnel|VISTA"
"FunkcionĂˇlis koronahosszabbĂ­tĂł mĹ±tĂ©t (fogankĂ©nt)";"ParodontolĂłgia";"koronahosszabbĂ­tĂˇs 1|crown lengthening 1|esztĂ©tikai koronahosszabbĂ­tĂˇs"
"FunkcionĂˇlis koronahosszabbĂ­tĂł mĹ±tĂ©t (kvadrĂˇnsonkĂ©nt)";"ParodontolĂłgia";"koronahosszabbĂ­tĂˇs kvadrĂˇns|crown lengthening QD"
"MucogingivĂˇlis sebĂ©szet";"ParodontolĂłgia";"mucogingivĂˇlis|MGS|periodontal plastic surgery"
"Gingivectomia";"ParodontolĂłgia";"gingivectomia|Ă­ny eltĂˇvolĂ­tĂˇs|GIN"
"Gingivoplasztika / Ă­nykorrekciĂł";"ParodontolĂłgia";"gingivoplasztika|Ă­ny formĂˇzĂˇs|esztĂ©tikai Ă­nykorrekciĂł"
"Frenulum plasztika - felsĹ‘ ajakfĂ©k";"ParodontolĂłgia";"felsĹ‘ ajakfĂ©k|frenulum plasztika|labial frenectomy"
"Frenulum plasztika - alsĂł ajakfĂ©k";"ParodontolĂłgia";"alsĂł ajakfĂ©k|alsĂł frenulum plasztika"
"NyelvfĂ©k felvĂˇgĂˇs (frenotomia)";"ParodontolĂłgia";"nyelvfĂ©k|lingual frenectomy|nyelvfĂ©k vĂˇgĂˇs|tongue tie"
"Soft-laser (lĂ©zerterĂˇpia, alkalmankĂ©nt)";"ParodontolĂłgia";"soft laser|lĂ©zerterĂˇpia|low level laser|LLLT"
"ParodontolĂłgia kontroll";"ParodontolĂłgia";"paro kontroll|periodontal recall|tasak kontroll"
"ParodontolĂłgia mĹ±tĂ©t utĂˇni kontroll";"ParodontolĂłgia";"posztop paro kontroll|paro mĹ±tĂ©ti kontroll"
"FoghĂşzĂˇs egyszerĹ± (db)";"SzĂˇjsebĂ©szet";"extr|extractio|fog kihĂşzĂˇsa|simple extraction|foghĂşzĂˇs"
