Név;Kategória;Ár
"Lipp tréner";"Myofunkcionális tanácsadás";361
"MINDEN (!) Myobrace-fogszabályozó készülék (B,I, J,K, MBA, T jelűek, Powergard sorozat)";"Myofunkcionális tanácsadás";362
"Myochew";"Myofunkcionális tanácsadás";363
"Myoclean tisztítótabletta, 12 db-os";"Myofunkcionális tanácsadás";364
"Myoclean tisztítótabletta, 24 db-os";"Myofunkcionális tanácsadás";365
"Myofunctionalis szaktanácsadás az izomfunkciók felmérésével";"Myofunkcionális tanácsadás";366
"Myofunkcionális konzultáció és felmérés_ Léhner Borostyán";"Myofunkcionális tanácsadás";367
"Myotalea TLJ készülék";"Myofunkcionális tanácsadás";368
"Powerguard sorozat";"Myofunkcionális tanácsadás";369
"Skype/Zoom kontroll";"Myofunkcionális tanácsadás";370
"Skype/Zoom kontroll gyermekenként testvér kedvezmény";"Myofunkcionális tanácsadás";371
"Emdogain anyagköltség";"Parodontológia";372
"Funkcionális koronahosszabbító műtét foganként";"Parodontológia";373
"Kontroll zárt kürett után két hónappal, tasakmérés";"Parodontológia";374
"Lyostypt anyagár";"Parodontológia";375
"Mucoderm anyag ár";"Parodontológia";376
"Mucogingivális sebészet";"Parodontológia";377
"Nyitott kürett 2 fogra Emdogain anyagköltség nélkül";"Parodontológia";378
"Nyitott kürett 3 fogra Emdogain anyagköltség nélkül";"Parodontológia";379
"Nyitott kürett 4 fogra Emdogain anyagköltség nélkül";"Parodontológia";380
"Nyitott kürett egy fogra Emdogain anyagköltség nélkül";"Parodontológia";381
"Parodontológia kontroll";"Parodontológia";382
"Parodontológia műtét utáni kontroll";"Parodontológia";383
"Parodontológia szakvizsgálat";"Parodontológia";384
"Parodontológia szakvizsgálat tasakméréssel";"Parodontológia";385
"Recesszió fedés I.";"Parodontológia";386
"Recesszió fedés II.";"Parodontológia";387
"Zárt kürett egy állcsont";"Parodontológia";388
"Zárt kürett egy quadráns";"Parodontológia";389
"Zárt kürett foganként";"Parodontológia";390
"Zárt kürett két állcsont teljes száj";"Parodontológia";391
"3 dimenziós titánháló";"Szájsebészet";392
"Arcüreg (sinus) zárás";"Szájsebészet";393
"Cerabone csontpótló anyag/ 2 gramm (Botiss)";"Szájsebészet";394
"Cerabone csontpótló anyag/ fél gramm (Botiss)";"Szájsebészet";395
"Cerabone csontpótló anyag/gramm (Botiss)";"Szájsebészet";396
"Creos membrán Xenoprotect 25×30";"Szájsebészet";397
"Creoss csontpótló Xenogain 0.25g";"Szájsebészet";398
"Csíkcsere";"Szájsebészet";399
"Dissectio (gyökér eltávolítás)";"Szájsebészet";400
"Extractio, fogeltávolítás varrattal/db";"Szájsebészet";401
"Extractio, fogeltávolítás/db";"Szájsebészet";402
"Extractio(fogeltávolítás) műtéti feltárásból";"Szájsebészet";403
"Extractio(fogeltávolítás) műtéti feltárásból, bölcsességfog";"Szájsebészet";404
"Felső ajakfék kimetszés";"Szájsebészet";405
"Feltárás foganként";"Szájsebészet";406
"Feszes íny képzése implantátum felszabadítással egy ülésben";"Szájsebészet";407
"Fogágytasakok tisztítása fogsebészeti feltárással / negyedenként";"Szájsebészet";408
"Gingiva-plasztika";"Szájsebészet";409
"Gyógyulási sapka multiunit fejre Nobel";"Szájsebészet";410
"Gyökércsúcs eltávolítás (resectio)-frontfog";"Szájsebészet";411
"Gyökércsúcs eltávolítás (resectio)-őrlőfog";"Szájsebészet";412
"Hybenx folyadék alkalmazása implantátumoknál";"Szájsebészet";413
"Implantátum felszabadítás";"Szájsebészet";414
"Implantátum felszínének kürettálása";"Szájsebészet";415
"Implantátum műtéti eltávolítása";"Szájsebészet";416
"Intraoperatív gyökértömés";"Szájsebészet";417
"Ínykorrekció foganként - kis korrekció esetén";"Szájsebészet";418
"Ínykorrekció foganként - nagyobb korrekció esetén";"Szájsebészet";419
"Korona hosszabbító műtét egy fog esetén";"Szájsebészet";420
"Korona hosszabbító műtét kvadránsonként";"Szájsebészet";421
"Lágyrész kimetszés mintavétellel, szövettani vizsgálattal";"Szájsebészet";422
"Micross csontkaparó";"Szájsebészet";423
"Mucoderm lágyszövet pótló anyag 15x20";"Szájsebészet";424
"Mucoderm lágyszövet pótló anyag 20x30";"Szájsebészet";425
"Mucoderm lágyszövet pótló anyag 30x40";"Szájsebészet";426
"Mucoderm Punch";"Szájsebészet";427
"Műtéti előkészítés Hygitech egyszerhasználatos steril takarókkal, műszervédőkkel (a továbbiakban felsorolt kezelésekhez hozzáadandó)";"Szájsebészet";428
"Nyálkahártya elváltozás sebészi eltávolítása";"Szájsebészet";429
"Nyelvfékfelvágás- alsó ajakfék plasztika";"Szájsebészet";430
"Pericoronitis kezelés";"Szájsebészet";431
"Resectio reoperáció";"Szájsebészet";432
"Retrográd (a gyökércsúcs felől elvégzett) gyökértömés csatornánként";"Szájsebészet";433
"Smartscraper";"Szájsebészet";434
"Socket shield technika";"Szájsebészet";435
"Szájpadlás kötőszövet augmentáció implantációval egy időben";"Szájsebészet";436
"Szájpadlás kötőszöveti augmentáció";"Szájsebészet";437
"Szövettani vizsgálat";"Szájsebészet";438
"Varratszedés";"Szájsebészet";439
"Átlátszó szilikonból készült lenyomat (Kristall) fogívenként";"Teljes szájrendbetétel";440
"Fogsorérintkezés becsiszolása első alkalom";"Teljes szájrendbetétel";441
"Fogsorérintkezés becsiszolása folytatása egy hónapon belül";"Teljes szájrendbetétel";442
"Harapásvétel (alkalmanként) digitálisan vagy lenyomatanyaggal";"Teljes szájrendbetétel";443
"NTI-tss mini harapásemelő ideiglenes adaptálása a rágóizom relaxációhoz (az eszköz csak a rendelőben kerül használatra) A tartós otthoni használatra is alkalmas adaptálású NTI-tss 150.000.- Ft áron kerül felszámításra)";"Teljes szájrendbetétel";444
"Vizualizáció (a tervezett fogmű modelezése tömőanyagból) szájban foganként nem tartósan rögzítve (a modelezés után rögtön eltávolítjuk)";"Teljes szájrendbetétel";445
"Vizualizáció dublírozása fogívenként";"Teljes szájrendbetétel";446
"Vizualizáció és hosszútávú ideiglenes fogmű készítés tartós rögzítéssel foganként";"Teljes szájrendbetétel";447
"5460-as fogkefe, 1 db";"Termékek";448
"5460-as fogkefe, 3 db-os";"Termékek";449
"ADS gél fogkrém";"Termékek";450
"Curaprox mini tartónyél";"Termékek";451
"Curasept implant";"Termékek";452
"Curasept öblögető";"Termékek";453
"Curasept perio";"Termékek";454
"Egycsomós fogkefe";"Termékek";455
"Elektromos fogkefe, pótfej";"Termékek";456
"Elektromos fogkefe, pótfej, 4 db, együtt";"Termékek";457
"Elektromos fogkefe, pótfej, egycsomós/db,";"Termékek";458
"Elektromos fogkefe, pótfej, gyermek/db,";"Termékek";459
"Fogköztisztító kiskefe/ 1 db";"Termékek";460
"Fogköztisztító kiskefe/5 db+2 db nyél";"Termékek";461
"Fogköztisztító kiskefe/8 db nyél nélkül";"Termékek";462
"Fogköztisztító nyél (fém)";"Termékek";463
"Fogselyemvilla";"Termékek";464
"Gengigél";"Termékek";465
"Gengigél Teething";"Termékek";466
"Jégzselé";"Termékek";467
"Miolite polarizált fényterápia";"Termékek";468
"Miolite polarizált fényterápia otthoni kezelés/nap";"Termékek";469
"Nyelvtisztító (készlet 2 db)";"Termékek";470
"Oral B elektromos fogkefe";"Termékek";471
"ORAL B gyermek fogkefe";"Termékek";472
"ORAL B Indikátoros fogkefe";"Termékek";473
"Páciens tükör";"Termékek";474
"Plakkfestő tabletta, 12 db";"Termékek";475
"Plakkfestő tabletta, 4 db";"Termékek";476
"Superfloss fogselyem";"Termékek";477
"Szájsebészeti fogkefe";"Termékek";478
"Szájtapasz";"Termékek";479
"Szájzuhany pótfej";"Termékek";480
"Tooth Mousse";"Termékek";481
"Tükör, fém";"Termékek";482
"Tükör, műanyag";"Termékek";483
"Ultrafloss fogselyem";"Termékek";484
"WaterPik Classic szájzuhany WP70";"Termékek";485
"Waterpik for Kids";"Termékek";486
"Waterpik Traveler szájzuhany";"Termékek";487
"Waterpik Ultra szájzuhany";"Termékek";488
"Waterpik water flosser ultra professional";"Termékek";489
"3D nyomtatott minta / db";"Vizsgálatok, tesztek, modelezések";490
"Alsó ajakból történő szövettani mintavétel és szövettani vizsgálat";"Vizsgálatok, tesztek, modelezések";491
"Árajánlat (díja az első rendelői kezelésből jóváírásra kerül)";"Vizsgálatok, tesztek, modelezések";492
"Arcíves harapásrögzítés rágóizom relaxációs harapásvétellel alkalmanként";"Vizsgálatok, tesztek, modelezések";493
"Axiográfos izületbemérés";"Vizsgálatok, tesztek, modelezések";494
"CBCT felvétel elküldése vagy kiadása pendrive-on";"Vizsgálatok, tesztek, modelezések";495
"CT Nagy térfogatú fogászati CBCT felvétel";"Vizsgálatok, tesztek, modelezések";496
"Diagnodent, lézeres fogszuvasodásmérés (teljes fogsor)";"Vizsgálatok, tesztek, modelezések";497
"Digitális lenyomat állcsontonként";"Vizsgálatok, tesztek, modelezések";498
"Díjtalan kontroll";"Vizsgálatok, tesztek, modelezések";499
"Díjtalan konzultáció";"Vizsgálatok, tesztek, modelezések";500
"Duraphat kezelés/alkalmanként";"Vizsgálatok, tesztek, modelezések";501
"Egyéb dokumentáció elkészítése a páciens kérésére";"Vizsgálatok, tesztek, modelezések";502
"Első betegvizsgálat, konzultáció Orvosnál ( 30 perc )";"Vizsgálatok, tesztek, modelezések";503
"EndoCT Endodonciai egy fog felvétel 5cm X 5 cm";"Vizsgálatok, tesztek, modelezések";504
"Felviaszolás-Wax-Up - koronák, héjak modelezése gipszmintán viaszból foganként";"Vizsgálatok, tesztek, modelezések";505
"Fluor Protector";"Vizsgálatok, tesztek, modelezések";506
"Fluorid ionforézis kezelés a zománc szuvasodás elleni védelemre";"Vizsgálatok, tesztek, modelezések";507
"Fogágy állapotfelmérés, tasakmérés";"Vizsgálatok, tesztek, modelezések";508
"Genetikai immunológiai és bakteriológiai teszt fogágybetegség keltő kórokozók kimutatásásra";"Vizsgálatok, tesztek, modelezések";509
"Góckutatás OP, vagy CBCT elemzésével, a fogak vitalitásvizsgálatával, írásos szakvélemény kiadásával";"Vizsgálatok, tesztek, modelezések";510
"ICT érzéstelenítés";"Vizsgálatok, tesztek, modelezések";511
"Ismétlő konzultáció";"Vizsgálatok, tesztek, modelezések";512
"Kontroll -Orvosnál ( 30 perc )";"Vizsgálatok, tesztek, modelezések";513
"Kontroll ( 15 perc Dental Excellenece )";"Vizsgálatok, tesztek, modelezések";514
"Kontroll- Orvosnál ( 15 perc )";"Vizsgálatok, tesztek, modelezések";515
"Kontroll- Orvosnál (30 perc Dental Excellence )";"Vizsgálatok, tesztek, modelezések";516
"Konzultáció -Orvosnál ( 15 perc )";"Vizsgálatok, tesztek, modelezések";517
"Konzultáció Orvosnál ( 30 perc )";"Vizsgálatok, tesztek, modelezések";518
"Konzultáció Orvosnál ( 60 perc )";"Vizsgálatok, tesztek, modelezések";519
"Koronák, héjak modelezése a szájban tömőanyagból foganként ( Mock-Up)";"Vizsgálatok, tesztek, modelezések";520
"NTI kontroll";"Vizsgálatok, tesztek, modelezések";521
"Nyáltermelés vizsgálat, szájnyálkahártya szűrő vizsgálat, tanácsadás és orvosi szakvélemény kiállítása";"Vizsgálatok, tesztek, modelezések";522
"OP Digitális panoráma röntgen felvétel";"Vizsgálatok, tesztek, modelezések";523
"PA digitális röntgen felvétel";"Vizsgálatok, tesztek, modelezések";524
"PCR teszt";"Vizsgálatok, tesztek, modelezések";525
"RTG felvétel: kis méretű, fogászati RTG film";"Vizsgálatok, tesztek, modelezések";526
"Sinus röntgen felvétel";"Vizsgálatok, tesztek, modelezések";527
"Szakvélemény kiállítása, dokumentáció készítése";"Vizsgálatok, tesztek, modelezések";528
"Számítógépes érzéstelenítés Quick Sleeper készülékkel";"Vizsgálatok, tesztek, modelezések";529
"Számítógépes mosolytervezés";"Vizsgálatok, tesztek, modelezések";530
"Szoftlézerkezelés /alkalmanként";"Vizsgálatok, tesztek, modelezések";531
"Szövettani vizsgálat";"Vizsgálatok, tesztek, modelezések";532
"Támasztócsapos harapásrögzítés";"Vizsgálatok, tesztek, modelezések";533
"Tanulmányi lenyomat állcsontonként";"Vizsgálatok, tesztek, modelezések";534
"Teleröntgen";"Vizsgálatok, tesztek, modelezések";535
